,HenryHub,,,,,,,,,,,,,,,,,,,,,,,,
09-04-2015,2.72,,,,,,,,,,,,,,,,,,,,,,,,
10-04-2015,2.58,,,,,,,,,,,,,,,,,,,,,,,,
13-04-2015,2.58,,,,,,,,,,,,,,,,,,,,,,,,
14-04-2015,2.58,,,,,,,,,,,,,,,,,,,,,,,,
15-04-2015,2.62,,,,,,,,,,,,,,,,,,,,,,,,
16-04-2015,2.61,,,,,,,,,,,,,,,,,,,,,,,,
17-04-2015,2.67,,,,,,,,,,,,,,,,,,,,,,,,
20-04-2015,2.57,,,,,,,,,,,,,,,,,,,,,,,,
21-04-2015,2.59,,,,,,,,,,,,,,,,,,,,,,,,
22-04-2015,2.63,,,,,,,,,,,,,,,,,,,,,,,,
23-04-2015,2.59,,,,,,,,,,,,,,,,,,,,,,,,
24-04-2015,2.59,,,,,,,,,,,,,,,,,,,,,,,,
27-04-2015,2.5,,,,,,,,,,,,,,,,,,,,,,,,
28-04-2015,2.55,,,,,,,,,,,,,,,,,,,,,,,,
29-04-2015,2.55,,,,,,,,,,,,,,,,,,,,,,,,
30-04-2015,2.56,,,,,,,,,,,,,,,,,,,,,,,,
01-05-2015,2.68,,,,,,,,,,,,,,,,,,,,,,,,
04-05-2015,2.72,,,,,,,,,,,,,,,,,,,,,,,,
05-05-2015,2.76,,,,,,,,,,,,,,,,,,,,,,,,
06-05-2015,2.76,,,,,,,,,,,,,,,,,,,,,,,,
07-05-2015,2.74,,,,,,,,,,,,,,,,,,,,,,,,
08-05-2015,2.78,,,,,,,,,,,,,,,,,,,,,,,,
11-05-2015,2.85,,,,,,,,,,,,,,,,,,,,,,,,
12-05-2015,2.85,,,,,,,,,,,,,,,,,,,,,,,,
13-05-2015,2.85,,,,,,,,,,,,,,,,,,,,,,,,
14-05-2015,2.87,,,,,,,,,,,,,,,,,,,,,,,,
15-05-2015,2.96,,,,,,,,,,,,,,,,,,,,,,,,
18-05-2015,3.01,,,,,,,,,,,,,,,,,,,,,,,,
19-05-2015,3.01,,,,,,,,,,,,,,,,,,,,,,,,
20-05-2015,3.04,,,,,,,,,,,,,,,,,,,,,,,,
21-05-2015,2.96,,,,,,,,,,,,,,,,,,,,,,,,
22-05-2015,2.96,,,,,,,,,,,,,,,,,,,,,,,,
26-05-2015,2.82,,,,,,,,,,,,,,,,,,,,,,,,
27-05-2015,2.82,,,,,,,,,,,,,,,,,,,,,,,,
28-05-2015,2.78,,,,,,,,,,,,,,,,,,,,,,,,
29-05-2015,2.78,,,,,,,,,,,,,,,,,,,,,,,,
01-06-2015,2.78,,,,,,,,,,,,,,,,,,,,,,,,
02-06-2015,2.63,,,,,,,,,,,,,,,,,,,,,,,,
03-06-2015,2.65,,,,,,,,,,,,,,,,,,,,,,,,
04-06-2015,2.6,,,,,,,,,,,,,,,,,,,,,,,,
05-06-2015,2.6,,,,,,,,,,,,,,,,,,,,,,,,
08-06-2015,2.6,,,,,,,,,,,,,,,,,,,,,,,,
09-06-2015,2.72,,,,,,,,,,,,,,,,,,,,,,,,
10-06-2015,2.81,,,,,,,,,,,,,,,,,,,,,,,,
11-06-2015,2.88,,,,,,,,,,,,,,,,,,,,,,,,
12-06-2015,2.88,,,,,,,,,,,,,,,,,,,,,,,,
15-06-2015,2.89,,,,,,,,,,,,,,,,,,,,,,,,
16-06-2015,2.94,,,,,,,,,,,,,,,,,,,,,,,,
17-06-2015,2.93,,,,,,,,,,,,,,,,,,,,,,,,
18-06-2015,2.93,,,,,,,,,,,,,,,,,,,,,,,,
19-06-2015,2.81,,,,,,,,,,,,,,,,,,,,,,,,
22-06-2015,2.79,,,,,,,,,,,,,,,,,,,,,,,,
23-06-2015,2.83,,,,,,,,,,,,,,,,,,,,,,,,
24-06-2015,2.83,,,,,,,,,,,,,,,,,,,,,,,,
25-06-2015,2.8,,,,,,,,,,,,,,,,,,,,,,,,
26-06-2015,2.77,,,,,,,,,,,,,,,,,,,,,,,,
29-06-2015,2.77,,,,,,,,,,,,,,,,,,,,,,,,
30-06-2015,2.8,,,,,,,,,,,,,,,,,,,,,,,,
01-07-2015,2.78,,,,,,,,,,,,,,,,,,,,,,,,
02-07-2015,2.79,,,,,,,,,,,,,,,,,,,,,,,,
03-07-2015,2.79,,,,,,,,,,,,,,,,,,,,,,,,
06-07-2015,2.79,,,,,,,,,,,,,,,,,,,,,,,,
07-07-2015,2.77,,,,,,,,,,,,,,,,,,,,,,,,
08-07-2015,2.77,,,,,,,,,,,,,,,,,,,,,,,,
09-07-2015,2.7,,,,,,,,,,,,,,,,,,,,,,,,
10-07-2015,2.7,,,,,,,,,,,,,,,,,,,,,,,,
13-07-2015,2.88,,,,,,,,,,,,,,,,,,,,,,,,
14-07-2015,2.88,,,,,,,,,,,,,,,,,,,,,,,,
15-07-2015,2.93,,,,,,,,,,,,,,,,,,,,,,,,
16-07-2015,2.9,,,,,,,,,,,,,,,,,,,,,,,,
17-07-2015,2.88,,,,,,,,,,,,,,,,,,,,,,,,
20-07-2015,2.88,,,,,,,,,,,,,,,,,,,,,,,,
21-07-2015,2.84,,,,,,,,,,,,,,,,,,,,,,,,
22-07-2015,2.84,,,,,,,,,,,,,,,,,,,,,,,,
23-07-2015,2.92,,,,,,,,,,,,,,,,,,,,,,,,
